TIME_PERIOD;OBS_VALUE
2004;20943.357
2005;20941.449
2006;20174.536
2007;20552.843
2008;19618.700
2009;19083.271
2010;18980.519
2011;18158.579
2012;16452.713
2013;16291.744
2014;16792.127
2015;16851.213
2016;16726.957
2017;17006.818
2018;16934.037
2019;17583.942
2020;16394.328
2021;16941.445
2022;17165.963
2023;16988.253
2024;16751.408
2004;27407.245
2005;28015.417
2006;26751.276
2007;26691.668
2008;26116.741
2009;25653.569
2010;24841.817
2011;24328.719
2012;22966.088
2013;23040.215
2014;23320.573
2015;24230.200
2016;24284.081
2017;25419.887
2018;24843.099
2019;24857.905
2020;22086.686
2021;22203.331
2022;23289.048
2023;22676.528
2024;22370.707
2004;26023.898
2005;26683.874
2006;25320.466
2007;25354.776
2008;24716.196
2009;24359.932
2010;23505.307
2011;22854.705
2012;21439.290
2013;21463.211
2014;21749.038
2015;22542.371
2016;22371.881
2017;23362.560
2018;22670.814
2019;22447.447
2020;20877.003
2021;20878.132
2022;21196.904
2023;20485.620
2024;20129.278
